"","time","city","loan"
"917","2005","SAINT CHARLES",147012
"918","2005","EAST TAWAS",145969
"919","2005","FAYETTE",85505
"920","2005","DENNISON",110073
"921","2005","MCCONNELLSBURG",79780
"922","2005","GREENWOOD",200830
"923","2005","MANCHESTER",84406
"924","2005","LITTLE ROCK",13550
"925","2005","BOSCOBEL",133101
"926","2005","BLACKSHEAR",121881
"927","2005","SHEPHERDSVILLE",83487
"928","2005","GENEVA",122925
"929","2005","TESCOTT",124742
"930","2005","DIETERICH",112894
"931","2005","HUNTINGDON",94242
"932","2005","STEVENSON",108330
"933","2005","CHICAGO",209990
"934","2005","BETHANY",123842
"935","2005","CLEVELAND",65856
"936","2005","HARTFORD",80593
"937","2005","TULSA",133864
"938","2005","BROWN CITY",136247
"939","2005","GLADSTONE",133675
"940","2005","ANAMOSA",98303
"941","2005","HOLLY SPRINGS",35032
"942","2005","LARAMIE",125253
"943","2005","VALENTINE",56920
"944","2005","RAWLINS",86040
"945","2005","HOBBS",32098
"946","2005","BROWNSVILLE",119938
"947","2005","ATHENS",124487
"948","2005","EAU CLAIRE",103921
"949","2005","ROLAND",105832
"950","2005","BUCYRUS",91017
"951","2005","DENVER",122334
"952","2005","MILWAUKEE",121491
"953","2005","WATSEKA",89044
"954","2005","GLASGOW",97902
"955","2005","DELHI",62767
"956","2005","KITTANNING",81720
"957","2005","OLD MONROE",90692
"958","2005","POPLAR BLUFF",147117
"959","2005","LOGAN",127277
"960","2005","TAMPA",227508
"961","2005","ROME",97833
"962","2005","FLEMINGSBURG",129701
"963","2005","EDMOND",141775
"964","2005","DELAVAN",113220
"965","2005","LINCOLNWOOD",89899
"966","2005","ALBION",104938
"967","2005","FARMINGTON HILLS",141670
"968","2005","NEW WINDSOR",149194
"969","2005","HERRIN",96313
"970","2005","ALTON",106028
"971","2005","WOODSBORO",111455
"972","2005","KREMLIN",141885
"973","2005","ANN ARBOR",93413
"974","2005","PARIS",100860
"975","2005","ABSECON",52693
"976","2005","FORT MYERS",111202
"977","2005","MOORESVILLE",119029
"978","2005","ROSEAU",64633
"979","2005","HEPPNER",109558
"980","2005","DANVILLE",105573
"981","2005","NATCHITOCHES",84813
"982","2005","GRANTS PASS",137938
"983","2005","UNION SPRINGS",109084
"984","2005","FRYBURG",122887
"985","2005","FRIDAY HARBOR",98335
"986","2005","FORT LAUDERDALE",141237
"987","2005","SPOKANE",112209
"988","2005","GREENWOOD VILLAGE",90409
"989","2005","PORT LAVACA",46869
"990","2005","ENGLAND",128968
"991","2005","LEWISTON",124153
"992","2005","WEDOWEE",163810
"993","2005","CANTON",114851
"994","2005","GILMER",87712
"995","2005","EAGLE RIVER",104212
"996","2005","FREEPORT",99788
"997","2005","AURORA",113171
"998","2005","IVA",109261
"999","2005","OAKLAND PARK",147964
"1000","2005","SOUTH SAN FRANCISCO",123105
"1001","2005","OVIEDO",121152
"1002","2005","SANTA ANA",139025
"1003","2005","MCALLEN",131453
"1004","2005","WAVERLY",71889
"1005","2005","ATLANTA",153952
"1006","2005","CORAL GABLES",83900
"1007","2005","STERLING",142655
"1008","2005","MARYLAND HEIGHTS",117617
"1009","2005","LYNCHBURG",139917
"1010","2005","FRANKLIN",125605
"1011","2005","MOUNT AIRY",144696
"1012","2005","WEYMOUTH",146159
"1013","2005","COCHRAN",134346
"1014","2005","TRACY",83656
"1015","2005","RANCHO SANTA MARGARITA",76757
"1016","2005","ALAMOSA",138352
"1017","2005","SEATTLE",151380
"1018","2005","SUMMIT",92002
"1019","2005","CORDOVA",11759
"1020","2006","ENID",314911
"1021","2006","CASPER",200981
"1022","2006","PIERCE",223821
"1023","2006","AINSWORTH",32928
"1024","2006","GOODLAND",224979
"1025","2006","TIMBERVILLE",309461
"1026","2006","HAWKINSVILLE",279664
"1027","2006","MOULTRIE",125492
"1028","2006","INVERNESS",337317
"1029","2006","GAINESVILLE",226883
"1030","2006","MIAMI",375533
"1031","2006","COMMERCE",51577
"1032","2006","DOUGLASVILLE",314396
"1033","2006","CRAWFORDVILLE",344555
"1034","2006","NATCHEZ",243589
"1035","2006","HOMESTEAD",337983
"1036","2006","REFORM",271530
"1037","2006","PELL CITY",211537
"1038","2006","LAVONIA",195142
"1039","2006","MCMINNVILLE",162237
"1040","2006","DEMING",160838
"1041","2006","AMARILLO",252906
"1042","2006","MIDLAND",470613
"1043","2006","BLOOMSBURG",156067
"1044","2006","NEW RICHMOND",298565
"1045","2006","ROCHESTER",225047
"1046","2006","MANISTIQUE",322605
"1047","2006","SAINT MICHAEL",299477
"1048","2006","HUDSON",171821
"1049","2006","FORT WALTON BEACH",204825
"1050","2006","CORTLAND",205208
"1051","2006","CHATTANOOGA",310137
"1052","2006","PETERSBURG",292816
"1053","2006","HALLS",174304
"1054","2006","WATERLOO",151138
"1055","2006","MEDFORD",351663
"1056","2006","PATTEN",293156
"1057","2006","LAFAYETTE",210866
"1058","2006","IONIA",184924
"1059","2006","HARTFORD CITY",190509
