"","co","name","time","city","loan","atot"
"223","1071669","LNB BC","2001","LORAIN",477488,"664526"
"224","1071726","CROGHAN BSHRS","2001","FREMONT",278366,"366508"
"225","1071913","ANDOVER BC","2001","ANDOVER",112706,"216341"
"226","1071968","FIRST VA BK","2001","FALLS CHURCH",6511430,"10623027"
"227","1072442","MERCANTILE BSHRS CORP","2001","BALTIMORE",7051557,"9928786"
"228","1073551","WACHOVIA CORP","2001","CHARLOTTE",175320000,"330452000"
"229","1073757","BANK OF AMER CORP","2001","CHARLOTTE",337466000,"621722000"
"230","1074156","BB&T CORP","2001","WINSTON-SALEM",47443173,"70869945"
"231","1074660","ALLFIRST FNCL","2001","BALTIMORE",10792056,"18878772"
"232","1075126","RIGGS NAT CORP","2001","WASHINGTON",2868592,"6094932"
"233","1075500","ABIGAIL ADAMS NAT BC","2001","WASHINGTON",138061,"178170"
"234","1075612","FIRST CITIZENS BSHRS","2001","RALEIGH",7196177,"11864495"
"235","1075694","SOUTHERN BSHRS NC","2001","MOUNT OLIVE",545063,"856626"
"236","1075881","CHESAPEAKE FNCL SHARES","2001","KILMARNOCK",180353,"245004"
"237","1075911","FIRST CITIZENS BC","2001","COLUMBIA",2262285,"3574680"
"238","1075984","PALMETTO BSHRS","2001","GREENVILLE",563875,"735816"
"239","1076002","NEWBRIDGE BC","2001","GREENSBORO",588365,"833327"
"240","1076105","BANK OF SOUTHSIDE VA CORP","2001","CARSON",190196,"396888"
"241","1076123","FIRST NAT CORP","2001","STRASBURG",187614,"249461"
"242","1076132","FIRST CHARTER CORP","2001","CHARLOTTE",1954895,"3332802"
"243","1076150","STATE BC","2001","BRUCETON MILLS",157784,"227059"
"244","1076217","UNITED BSHRS","2001","CHARLESTON",3870959,"5631775"
"245","1076262","CITY HC","2001","CROSS LANES",1392253,"2121123"
"246","1076329","PALMETTO ST BSHRS","2001","HAMPTON",106259,"177156"
"247","1076365","FIRST CENTURY BSHRS","2001","BLUEFIELD",244068,"369203"
"248","1076413","F&M BC","2001","FREDERICK",1191004,"1881434"
"249","1076431","FIRST BC","2001","TROY",901332,"1145000"
"250","1076495","F&M BK CORP","2001","TIMBERVILLE",176625,"272673"
"251","1076516","TCB CORP","2001","GREENWOOD",113331,"173595"
"252","1076525","FIRST CAROLINA BSHRS CORP","2001","DARLINGTON",143614,"204114"
"253","1076600","FAUQUIER BSHRS","2001","WARRENTON",210309,"285202"
"254","1076619","F&M FC","2001","GRANITE QUARRY",256745,"349074"
"255","1076673","OLD POINT FC","2001","HAMPTON",346483,"518759"
"256","1076691","AMERICAN NAT BSHRS","2001","DANVILLE",375593,"572887"
"257","1077120","SUNTRUST BHC","2001","ORLANDO",73516946,"102703338"
"258","1078332","REGIONS FC","2001","BIRMINGHAM",31845223,"45545287"
"259","1078529","BBVA USA BSHRS","2001","HOUSTON",13722863,"23078952"
"260","1078604","AMSOUTH BC","2001","BIRMINGHAM",25438115,"38622252"
"261","1078846","SYNOVUS FC","2001","COLUMBUS",12815857,"16657947"
"262","1078921","HIBERNIA CORP","2001","NEW ORLEANS",11807915,"16618176"
"263","1078958","CITIZENS BSHRS CORP","2001","ATLANTA",158394,"294500"
"264","1079067","GADSDEN CORP","2001","ALTOONA",101183,"163292"
"265","1079441","SOUTHTRUST CORP","2001","BIRMINGHAM",34210309,"48754548"
"266","1079562","TRUSTMARK CORP","2001","JACKSON",4524366,"7180339"
"267","1079731","A WILBERTS SONS LUMBER & SHING","2001","PLAQUEMINE",97035,"181132"
"268","1079740","WHITNEY HC","2001","NEW ORLEANS",4556215,"7245235"
"269","1080139","TRUST NO 3 UNDER THE WILL OF","2001","TROY",242699,"365579"
"270","1080465","COLONIAL BANCGROUP","2001","MONTGOMERY",10403118,"13202561"
"271","1080568","GREAT SOUTHERN CAP CORP","2001","MERIDIAN",127269,"224383"
"272","1080595","COMMUNITY BSHRS OF MS","2001","BRANDON",715704,"1025835"
"273","1081060","FIRST CITIZENS BC","2001","CLEVELAND",314690,"470599"
"274","1081079","CITRUS & CHEM BC","2001","BARTOW",265877,"462381"
"275","1081097","MANSURA BSHRS","2001","MANSURA",136709,"199160"
"276","1081118","FIDELITY SOUTHERN CORP","2001","ATLANTA",801258,"994496"
"277","1081136","MID ST BK","2001","HAWKINSVILLE",169461,"258789"
"278","1081239","CREWS BKG CORP","2001","WAUCHULA",263468,"432013"
"279","1081314","PERSONS BKG CO","2001","MACON",260595,"375010"
